"","movieTitle","score","regDate","wom"
"5908","설국열차",10,"2013-08-05","10.0멋짐                     "
"6426","체인지",9,"2013-10-01","9.0비디오로 봤던영화..킥킥 거리면서 웃었던 기억이 있다.ㅎㅎ남녀의 몸이 서로 체인지 되는건 아마 이영화에서 처음본것 같다.내 기억으로는..                    "
"6051","레드: 더 레전드",0,"2013-07-30","0.0이병헌 저거 나오면 채널돌려버린다. 영화도 저놈 때문에 안보는 사람들 많다.                    [1]                    "
"1757","루시",1,"2014-09-14","1.0돈 아깝다고 생각되는 영화  아주 졸작...대만 한국 억지스러움                      "
"9914","몬스터",6,"2014-04-18","6.0그것참.. 나름 신선한 시도긴 한데, 좀 안어울려. 따로보면 보기좋은데 섞어놓으니 어찌 받아들여야 할지 참 난해하다.                    "
"1500","더 이퀄라이저",5,"2014-12-21","5.0타코타 패닝(맨온파이어)에서 클레이 모레츠로 바뀜...ㅋ                     "
"2265","신이 보낸 사람",10,"2014-02-16","10.0영화가 끝나고 자막이 올라가는 동안 아무도 자리를 뜨지않더라고요. 북한의 실정이 말로만 들었을 땐 같은 인간으로써 정말 저렇듯 잔인할 거라는 생각은 못 했었는데.... 어찌되었든 같은 민족으로써 마음이 아팠습니다.                    "
"2752","나의 PS 파트너",10,"2012-12-26","10.0재밌게봤어요~!                     "
"5841","더 웹툰: 예고살인",7,"2013-11-04","7.0간만에 재미있게 봤습니다.                    "
"5891","엣지 오브 투모로우",9,"2015-01-29","9.0진짜 후회안 할 듯. 톰 크루즈가 죽는걸 반복하니까 웃김요                    "
"1054","퍼시픽 림",4,"2013-07-13","4.0영화보는 내내 인상쓰면서 인내심을 가지고 본 영화.용가리수준의 유치찬란한 수준이다.초중반부까지 어설픈 코미디수준의 배우들의 대사가 한숨을 나오게한다.중후반부에 빵터지는 액션에도 소리만요란할뿐 감흥이없다.                    "
"6075","변호인",10,"2013-12-24","10.0짱!!!                    "
"1310","명량",10,"2014-07-30","10.0지루하지 않았음~ 과하지도 않고 노량까지 이어졌으면 좋겠음!                    "
"165","쓰리데이즈 투 킬",10,"2014-04-11","10.0무거운 액션 영화일 줄 알았는데 뜨거운 가족애와 귀여운 악당들의 코믹 액션이 버무려진 영화네요..보면서 흡수 되는 느낌 ㅎ딱 내스타일..또한 케빈코스트너의 멋진 액션 정말 숨막히더라구요...노년의 액션도 완전 멋진 케빈^^                    "
"2811","감기",1,"2014-09-09","1.0진짜 좋은 주제 가지고 망침정치인들 노답이고애살릴려고 별짓다하다 작가가 존나 무리하게 폭동일으켜서 항체보유자 죽이고  애를 유일한 보유자로 만듦애땜에 엄마 총맞는데 엄마 쏘지말라그러고우리가 뭐 미국이랑 전쟁하나 폭격을 맘대로 할수 있나봄?쨋든 처음부터 끝까지 무리수                    "
"4114","나우 유 씨 미 : 마술사기단",10,"2013-06-06","10.0봣는데 완전 재밋음 다들 연기도 잘하고 확실히 정말 볼만한 영화. 한 오십번 정도 더 보고싶은영화                    [1]                    "
"1588","두물머리",10,"2014-01-20","10.02번 봤어요~ 볼 때마다 감동이 다르고  또다른느낌을받습니다~농민들의 의미있는 행동이 긍정적인 사회변화를 가능하게 했음에 박수를 보냅니다                    "
"701","강남 1970",9,"2015-01-18","9.0따뜻한 방에서 잘 살아보고싶다는, 어찌보면 인간으로서 당연히 갖게되는 그것조차 허락되지 않았던 넝마주이 주인공들이 시대의 급류에 휘감겨 땅과 돈이라는 욕망을 치열하게 또 냉혹하게 빼앗고 뺏는 모습에서 우리 지금 사회와 인간군상을 되짚어보게 됨. 엔딩은 예상은 할 수 있으나 마주하면 입술을 짓이기게 된다.                    "
"9734","더 인터뷰",2,"2014-12-29","2.0미국의 병맛 코미디 영화를 좋아 하는데 이건 정말이지....너무나 재미가 없음...소재는 좋았으나 정말로 못살린 영화...19곰테드나, 클릭, 행오버, 댓츠마이보이 같은 부류와 비교하자면 쓰레기 수준...                    [1]                    "
"8739","용서받지 못한 자",10,"2013-07-20","10.0윤종빈 감독의 지금까지 영화중에서 으뜸임. 최고의 영화!                    "
"8868","명탐정 코난 : 11번째 스트라이커",10,"2013-12-07","10.0Wkd                    "
"7409","노아",10,"2014-03-22","10.0스토리는 물론이고 캐릭터들의 개성이 하나같이 뚜렷해서 더 재밌게 볼 수 있었다                     "
"5299","서드 마더",1,"2014-09-08","1.0당신은 왜 마녀처럼 부활하지 못하는가                    "
"5606","셰임",1,"2013-06-25","1.0이 영화를 본게 셰임...                    "
"9012","관능의 법칙",7,"2014-02-22","7.0그냥 그럼. 신선하지도 않고 공감도 그닥 안되는, 그냥 영화에서 억지로 만들어진 40대 여자들의 이야기. 근데 40대 미혼녀는 빵빵한 직업에 능력에 잘생긴 연하남이 없으면 안되는거?                    "
"658","캡틴 아메리카: 윈터 솔져",9,"2014-10-20","9.0^^                    "
"2027","남자가 사랑할 때",10,"2014-02-15","10.0와... 진짜 잘 만들었다... 끝날 무렵 사방에서 훌쩍거리는 소리가 들리던...                    "
"9707","명량",9,"2014-08-06","9.0감동                    "
"4563","넛잡: 땅콩 도둑들",10,"2014-01-21","10.0미국 개봉전 헐리웃 양키들 지들 제작사 아니라고 비평가들 평점 테러 무쟈게 했는데 ... 막상 개봉해 보니 관람한 후 90프로 이상이 너무 재밋다고 해서 입소문으로 현재 박스오피스 1위 등극이 유력시 된다네요 ... 미국 무비티켓 점유율 현재 시간 압도적 1위 ... 대~한~민국 ~ 넛잡 자랑스럽습니다 ... 꼭 볼 겁니다                     "
"3828","제인 구달",0,"2014-12-03","0.0그냥                    "
"5947","둠스데이 2014",3,"2014-05-11","3.0도대체 2010년에 개봉한  원제목도 '메트로 스톰'인데 제목도 바꾸고 2014라고 사기치며 개봉하는 이유가 뭐야? ITV에서 팔아먹을려구?                    "
"2442","아기공룡 둘리 : 얼음별 대모험",10,"2013-05-14","10.0잼나잼나 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ                    "
"473","언더 더 스킨",8,"2014-07-28","8.0사람들이 영화'에 관해 갖는 선입관은 영화감삼의 목적을 시간 때우는 용도, 스토리 즐기기, 영상미 감상으로만 한정하는데..실은 단순히 줄거리나 영상미 이외에 영화 안의 요소들이 어우러져 내뿜는 주제와 철학을 통해 관객에게 전달하는 메세지가 있는 것이죠...스칼렛 요한손이 허무함과 공허함을 잘 살린 듯..                    "
"995","천안함 프로젝트",8,"2013-12-09","8.0한가지 궁금한점 은 그 60미터 짜리 물체 찍어서 보여 주질 못 하는 이유나 인양을 하지 않는 이유가 뭔가요? 그게 확실한 증거일텐데... 돌핀급 잠수함....이게 빠져 나간건가요? 이부분이 좀 납득이...                    "
"812","파파로티",10,"2013-04-03","10.0웃다가 울다가최고다!!!                    "
"4450","내 아내의 모든 것",9,"2013-01-21","9.0임수정 사랑스러워                    "
"3835","명량",5,"2014-08-03","5.0생각보다 런닝타임이 길게 느껴지진 않았음.배우들 연기는 좋았음. 그러나 바다위의 cg는 최악. 구루지마 목날라갈땐 실소가. 백성들이 대장선을 구하는 장면에선 억지로 감동을 강요하는 듯 해서 짜증남.                     "
"6524","역린",9,"2014-06-03","9.0너무너무 멋지다. 내가 좋아하는 스타일. 전혀 지루하지 않고 흥미진진하다.                     "
